Corporate Cluster ID,Selection Rank,Priority Score,Representative Employer,Legal/Discovery Records Covered,Resolution Outcome,Corporate Website,Careers Landing URL,Jobs Search URL,Portal Scope,ATS Family,ATS Confidence,Resolution Status,Verification Evidence URL,Verified Date,Parent Override,Deferral Reason,Notes
CG-1115663E06,32,78,Clarified Security,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-3739B397B8,33,78,CoreTech Security Services,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-BB0E9C180B,34,78,Crown Cyber Defence,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-1A62E14708,35,78,CryptoMill Cybersecurity Solutions,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-F89E4CA49D,36,78,CSA Cyber,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-B4B587C0E2,37,78,Cyber Security d.o.o,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-DADD76E812,38,78,Cyber Smart Defence,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-1A088F504D,39,78,CyberArrange Security Solutions j.d.o.o,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-B472B60D00,40,78,CyberCX,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,CyberCX was acquired by Accenture in 2026; defer until its parent normalization and current recruiting scope are reviewed.,No registry change is emitted for deferred rows.
CG-BA94260EB6,41,78,CyberLok Security Solutions,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-6778066D46,42,78,Cybernetica,1,RESOLVED,https://cyber.ee/,https://cyber.ee/careers/,https://cyber.ee/careers/open-positions/,Cybernetica first-party careers,Custom first-party job board,High,VERIFIED_WAVE6,https://cyber.ee/careers/open-positions/,2026-08-31,,,Official Cybernetica page lists current positions and internship routing
CG-AD64B41617,43,78,CyberNINES,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-0EC12E9DE8,44,78,CyberOps Pty,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-4123FBFB33,45,78,CyberRx,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-108FB79FFC,46,78,Cybersec Investments,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-20F5B092A1,47,78,CyberSecurity & Technology Consultancy,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-7850536535,48,78,CyberSift,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-D2E108D544,49,78,Cyberstar,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-3C6D85CC33,50,78,Dirks Defence & Security & . KG,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-A20F15B492,51,78,DNV Cyber,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-23BB58B0FA,52,78,EGIDA SECURITY SOLUTIONS d.o.o,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-EC9A970805,53,78,EPICOM,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-B9612B643C,54,78,FRANCE CYBER MARITIME,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-E04A0199FE,55,78,genua,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-6AC39C04D1,56,78,Heimdal Security,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-AD0730520B,57,78,IDEMIA - National Security Solutions,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-A24176378C,58,78,"International Institute For African Defense, Security and Governance",1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-00629437B4,59,78,Into Security,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-0189C9341E,60,78,itWatch,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-59F0AD98E4,61,78,JK Defence & Security Products,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-AC95761A01,62,78,Knowit Cybersecurity & Law,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-27E7AFCF5E,63,78,Kratos Defense & Security Solutions,1,RESOLVED,https://www.kratosdefense.com/,https://www.kratosdefense.com/careers,https://www.kratosdefense.com/careers/open-roles,Global Kratos careers with regional links,Pereless embedded job board,High,VERIFIED_WAVE6,https://www.kratosdefense.com/careers/open-roles,2026-08-31,,,Official Kratos open-roles page embeds its Pereless recruiting board and documents the trusted recruiter domain
CG-DAC0E16311,64,78,Laverty Cyber,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-0E5C59B4DA,65,78,M. Hatter Strategic Security,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-15818FB487,66,78,Meerkat Cyber,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-9D09EA8C18,67,78,National Security Capital,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-E0CBF727B9,68,78,Netsecurity,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-06E7CB9259,69,78,Nexer Cybersecurity,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-EF569AC6D4,70,78,Nord Security,1,RESOLVED,https://nordsecurity.com/,https://nordsecurity.com/careers,https://nordsecurity.com/careers,Global Nord Security careers,Custom first-party job board,High,VERIFIED_WAVE6,https://nordsecurity.com/careers,2026-08-31,,,Official Nord Security careers page exposes searchable current roles and early-career vacancies
CG-4885ED5EE1,71,78,NRD Cyber Security,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-B695D410CB,72,78,ObjectSecurity,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-E8223BC889,73,78,Orange Cyberdefense Norway,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,Country-specific Orange Cyberdefense identity may share a parent portal; defer to avoid an unreviewed parent assignment.,No registry change is emitted for deferred rows.
CG-90E474B793,74,78,Orange Cyberdefense Sweden,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,Country-specific Orange Cyberdefense identity may share a parent portal; defer to avoid an unreviewed parent assignment.,No registry change is emitted for deferred rows.
CG-1B633C733E,75,78,Peak InfoSec,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-04D7DCB400,76,78,Possible Security,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-FF13FAD363,77,78,Prism Infosec,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-379DEB53FE,78,78,RMI Security,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-B9DDDCB992,79,78,secunet Security Networks,1,RESOLVED,https://www.secunet.com/,https://www.secunet.com/en/about-us/career,https://jobs.secunet.com/,secunet group careers,Custom hosted job board,High,VERIFIED_WAVE6,https://www.secunet.com/en/about-us/career,2026-08-31,,,Official secunet careers page links the public group job board and junior and internship routes
CG-B6BCBB98A5,80,78,Security Compass,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-C9DEA1A29A,81,78,"Security Media, s.r.o",1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-F8C59539E3,82,78,SIA Cyber Circle,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-341E629621,83,78,Silverskin Information Security,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-DD22BA2510,84,78,SSH Communications Security,1,RESOLVED,https://www.ssh.com/,https://careers.ssh.com/,https://careers.ssh.com/jobs,Global SSH Communications Security careers,Teamtailor,High,VERIFIED_WAVE6,https://careers.ssh.com/jobs,2026-08-31,,,Official SSH Teamtailor site provides the public job list even when no vacancy is currently open
CG-1C7C8FD427,85,78,ST Security a.s,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-977CE366A2,86,78,The Intelligence and Security Associates,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-5AB1887023,87,78,Triad InfoSec,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-DB98408240,88,78,Vepe Security,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-839B1F9E73,89,78,Viking Security,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-894D6E5856,90,78,WhySecurity,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-353391C4F6,91,78,Wider Security,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-B6840442CB,92,78,APS Bank,1,RESOLVED,https://www.apsbank.com.mt/,https://www.apsbank.com.mt/careers/,https://apsbank.hire.trakstar.com/,APS Bank Malta careers,Trakstar Hire,High,VERIFIED_WAVE6,https://www.apsbank.com.mt/careers/,2026-08-31,,,Official APS Bank careers page links its branded Trakstar vacancies board
CG-73F8152A18,93,78,Armmo Defense Technologies,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-A940B2BEDA,94,78,Avon Protection Systems,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-B43F46414F,95,78,Bank of Valletta,1,RESOLVED,https://www.bov.com/,https://www.bov.com/Careers,https://portal.dynamicsats.com/JobListing/9ab03acd-680b-4138-96b5-d6e2d16220d8,Bank of Valletta Malta careers,Dynamics ATS,High,VERIFIED_WAVE6,https://www.bov.com/Careers,2026-08-31,,,Official Bank of Valletta careers page links the specific public Dynamics ATS listing
CG-0D8F60366A,96,78,Beagle Technology Group,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-079B35AB0D,97,78,Between Group,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-346990DDF8,98,78,BMIT Technologies,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-6AC7E933E6,99,78,Citadele banka,1,RESOLVED,https://www.citadele.lv/en/,https://www.citadele.lv/en/career/,https://www.citadele.lv/en/career/,Citadele Baltic careers,Custom first-party job board,High,VERIFIED_WAVE6,https://www.citadele.lv/en/career/,2026-08-31,,,Official Citadele careers page lists and filters current Baltic positions
CG-B8445B4240,100,78,CPI TMD Technologies,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
