employer_name,corporate_cluster_id,priority,cohort,source_key,source_scope,canonical_careers_url,operational_url,ats_family,evidence_state,resolution_path,adapter_supported,catalog_state,last_verified_at,evidence_url,notes,scan_enabled
Okta,CG-0004CE55D3,16,CORE_200,okta_greenhouse,Global,https://www.okta.com/company/careers/,https://job-boards.greenhouse.io/okta,Greenhouse,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/okta,Live Boards API token 'okta'; existing Greenhouse adapter; one Boards API parity check required,N
Check Point Software,CG-5C528EBC85,17,CORE_200,checkpoint_custom,Global,https://www.checkpoint.com/careers/,https://careers.checkpoint.com/index.php?a=search&m=cpcareers,Custom HTML,FIRST_PARTY_VERIFIED,RESOLVER_LIGHT,NO,PARTIAL,2026-09-02,https://careers.checkpoint.com/index.php?a=search&m=cpcareers,Direct HTML search; first-party table is parity oracle; structured endpoint not yet found; generic parser only,N
SentinelOne,CG-56303A94B3,18,CORE_200,sentinelone_greenhouse,Global,https://www.sentinelone.com/careers/,https://job-boards.greenhouse.io/sentinelone,Greenhouse,PROBABLE,FINGERPRINT_REQUIRED,YES,UNTESTED,2026-09-02,https://job-boards.greenhouse.io/sentinelone,Strong Greenhouse signal but first-party redirect/network proof not captured; one cheap direct board/API check required,N
Netskope,CG-DE21FCE046,19,CORE_200,netskope_custom,Global,https://www.netskope.com/company/careers,https://www.netskope.com/company/careers,Custom first-party careers,UNVERIFIED,HOLD,NO,UNTESTED,2026-09-02,https://www.netskope.com/company/careers,Backend vendor not directly proven; first-party search/network inspection required,N
Proofpoint,CG-9CA85DBA9E,20,CORE_200,proofpoint_workday,Global,https://www.proofpoint.com/us/careers,https://proofpoint.wd5.myworkdayjobs.com/ProofpointCareers,Workday,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://proofpoint.wd5.myworkdayjobs.com/ProofpointCareers,Live wd5 ProofpointCareers; existing Workday adapter; one Boards API probe required for COMPLETE_CATALOG_VERIFIED,N
Tenable,CG-AA4B65F605,21,CORE_200,tenable_greenhouse,Global,https://www.tenable.com/careers,https://job-boards.greenhouse.io/tenableinc,Greenhouse,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/tenableinc,Live Boards API token 'tenableinc'; existing Greenhouse adapter; one Boards API parity check required,N
Rapid7,CG-D9132F0D0E,22,CORE_200,rapid7_custom,Global,https://www.rapid7.com/about/careers/,https://www.rapid7.com/about/careers/,Custom first-party careers,UNVERIFIED,HOLD,NO,UNTESTED,2026-09-02,https://www.rapid7.com/about/careers/,Backend vendor not directly proven; first-party search/network inspection required,N
OpenAI,CG-7D3BBB5CBB,13,CORE_200,openai_ashby,Global,https://openai.com/careers/search/,https://jobs.ashbyhq.com/openai,Ashby,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,VERIFIED,2026-09-02,https://jobs.ashbyhq.com/openai,Live Ashby board returns current jobs; existing Ashby adapter sufficient,N
Anthropic,,14,CORE_200,anthropic_greenhouse,Global,https://www.anthropic.com/careers/jobs,https://job-boards.greenhouse.io/anthropic,Greenhouse,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/anthropic,Live Boards API token 'anthropic'; existing Greenhouse adapter; one Boards API parity check required,N
Stripe,CG-2FCB5A43A4,baseline,CORE_200,stripe_greenhouse,Global,https://stripe.com/careers/search,https://boards-api.greenhouse.io/v1/boards/stripe/jobs?content=true,Greenhouse,FIRST_PARTY_VERIFIED,READY_TO_PROBE,YES,VERIFIED,2026-09-02,https://job-boards.greenhouse.io/stripe,Reference fixture (V23); 1 request -> 592/592 described vacancies validated; safe to auto-probe in this state,N
SpaceX,,15,CORE_EXTENSION,spacex_greenhouse_us,US,https://www.spacex.com/careers/,https://job-boards.greenhouse.io/spacex,Greenhouse,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/spacex,Live US board 'spacex'; multi-board case: union with 'spacexglobal'; dedup by stable job ID,N
SpaceX,,15,CORE_EXTENSION,spacex_greenhouse_intl,International,https://www.spacex.com/careers/,https://job-boards.greenhouse.io/spacexglobal,Greenhouse,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/spacexglobal,Live international board 'spacexglobal'; union/dedup with 'spacex' by native source ID,N
Discord,,16,CORE_EXTENSION,discord_greenhouse_main,Main,https://discord.com/jobs,https://job-boards.greenhouse.io/discord,Greenhouse,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/discord,Live main Greenhouse board; multi-board case: union with 'discordinternational',N
Discord,,16,CORE_EXTENSION,discord_greenhouse_intl,International,https://discord.com/jobs,https://job-boards.greenhouse.io/discordinternational,Greenhouse,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/discordinternational,Live international Greenhouse board; multi-board union case,N
Anduril Industries,,17,CORE_EXTENSION,anduril_greenhouse,Global,https://www.anduril.com/open-roles,https://job-boards.greenhouse.io/andurilindustries,Greenhouse,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/andurilindustries,Live Boards API token 'andurilindustries'; one Boards API parity check required,N
Blue Origin,,18,CORE_EXTENSION,blueorigin_workday,Global,https://www.blueorigin.com/careers,https://blueorigin.wd5.myworkdayjobs.com/BlueOrigin,Workday,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://blueorigin.wd5.myworkdayjobs.com/BlueOrigin,Live wd5 BlueOrigin site; existing Workday adapter; one Boards API probe required,N
Vanta,,19,CORE_EXTENSION,vanta_ashby,Global,https://www.vanta.com/careers,https://jobs.ashbyhq.com/vanta,Ashby,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://jobs.ashbyhq.com/vanta,Live Ashby board; existing Ashby adapter sufficient,N
Visa,,20,CORE_EXTENSION,visa_smartrecruiters,Global,https://corporate.visa.com/en/careers.html,https://careers.smartrecruiters.com/Visa,SmartRecruiters,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://careers.smartrecruiters.com/Visa,Live SmartRecruiters organization 'Visa'; existing SmartRecruiters adapter; one Boards API probe required,N
Databricks,,21,CORE_EXTENSION,databricks_greenhouse,Global,https://www.databricks.com/company/careers,https://job-boards.greenhouse.io/databricks,Greenhouse,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/databricks,Live Boards API token 'databricks'; existing Greenhouse adapter; one Boards API parity check required,N
MongoDB,,22,CORE_EXTENSION,mongodb_greenhouse,Global,https://www.mongodb.com/company/careers/see-jobs,https://job-boards.greenhouse.io/mongodb,Greenhouse,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/mongodb,Live Boards API token 'mongodb'; existing Greenhouse adapter; one Boards API parity check required,N
Elastic,,23,CORE_EXTENSION,elastic_greenhouse,Global,https://jobs.elastic.co/,https://job-boards.greenhouse.io/elastic,Greenhouse,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/elastic,Live Boards API token 'elastic'; vanity domain remains canonical display surface; one Boards API parity check required,N
GitLab,,24,CORE_EXTENSION,gitlab_greenhouse,Global,https://about.gitlab.com/jobs/,https://job-boards.greenhouse.io/gitlab,Greenhouse,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/gitlab,Live Boards API token 'gitlab'; do not merge 'gitlabcrm' expressions of interest into live-job catalog,N
Cloudflare,CG-F036F57906,7,CORE_200,cloudflare_greenhouse_boards_api,Global,https://www.cloudflare.com/careers/jobs/,https://boards-api.greenhouse.io/v1/boards/cloudflare/jobs?content=true,Greenhouse,PROBABLE,FINGERPRINT_REQUIRED,YES,UNTESTED,2026-09-02,https://boards-api.greenhouse.io/v1/boards/cloudflare/jobs?content=true,Direct Boards API token 'cloudflare' for cheap parity proof; do not auto-enable until root redirect confirmed and API count compared,N
Adyen,,25,CORE_EXTENSION,adyen_greenhouse,Global,https://www.adyen.com/careers,https://job-boards.greenhouse.io/adyen,Greenhouse,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/adyen,Live Boards API token 'adyen'; existing Greenhouse adapter; one Boards API parity check required,N
Dragos,,26,CORE_EXTENSION,dragos_greenhouse,Global,https://www.dragos.com/careers/,https://job-boards.greenhouse.io/dragos,Greenhouse,OPERATIONAL_PLATFORM_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/dragos,Live board root exposes 53 current jobs including Cyber Threat Intelligence, Incident Response, OT/ICS cybersecurity; one Boards API parity check required,N
Dragos,,26,CORE_EXTENSION,dragos_boards_api,Global,https://www.dragos.com/careers/,https://boards-api.greenhouse.io/v1/boards/dragos/jobs?content=true,Greenhouse,OPERATIONAL_PLATFORM_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://boards-api.greenhouse.io/v1/boards/dragos/jobs?content=true,Direct Boards API token 'dragos' for controlled probe,N
Panther Labs,,27,CORE_EXTENSION,pantherlabs_greenhouse,Global,https://pantherlabs.com/careers/,https://job-boards.greenhouse.io/pantherlabs,Greenhouse,FIRST_PARTY_AND_PLATFORM_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/pantherlabs,Live board root; promote from unknown future resolver target to existing Greenhouse fast path; one Boards API parity check required,N
GuidePoint Security,,28,CORE_EXTENSION,guidepointsecurity_greenhouse,Global,https://www.guidepointsecurity.com/careers/,https://job-boards.greenhouse.io/guidepointsecurity,Greenhouse,FIRST_PARTY_AND_PLATFORM_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/guidepointsecurity,Current job pages hosted by Greenhouse; ATS explicitly named in posting; one Boards API parity check required,N
Wiz,,29,CORE_EXTENSION,wiz_greenhouse,Global,https://www.wiz.io/careers,https://job-boards.greenhouse.io/wizprivate,Greenhouse,GREENHOUSE_OPERATIONAL_PLATFORM_VERIFIED,FINGERPRINT_REQUIRED,YES,PARTIAL,2026-09-02,https://job-boards.greenhouse.io/wizprivate,Live wizprivate Greenhouse board exposes only tiny engineering subset; wizinc legacy board may also exist; do not equate one visible board with global Wiz catalog completeness,N
Helsing,,30,CORE_EXTENSION,helsing_greenhouse,Global,https://helsing.ai/jobs/,https://helsing.ai/jobs/,Greenhouse family,GREENHOUSE_OPERATIONAL_PLATFORM_VERIFIED,FINGERPRINT_REQUIRED,YES,PARTIAL,2026-09-02,https://helsing.ai/jobs/4939402101?gh_jid=4939402101,First-party jobs retain gh_jid but root board identity not yet independently proven; one Boards API parity check required,N
Abnormal Security,,31,CORE_EXTENSION,abnormal_greenhouse,Global,https://abnormal.ai/careers/jobs,https://abnormal.ai/careers/jobs,Greenhouse family,GREENHOUSE_OPERATIONAL_PLATFORM_VERIFIED,FINGERPRINT_REQUIRED,YES,PARTIAL,2026-09-02,https://abnormal.ai/careers/jobs/7832743003?gh_jid=7832743003,First-party jobs use gh_jid; root board identity not yet independently proven; one Boards API parity check required,N
Glean,,32,CORE_EXTENSION,glean_greenhouse,Global,https://www.glean.com/careers,https://job-boards.greenhouse.io/gleanwork,Greenhouse,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/gleanwork,Live root exposes ~110+ jobs; one Boards API parity check required,N
Anyscale,,33,CORE_EXTENSION,anyscale_ashby,Global,https://www.anyscale.com/careers,https://jobs.ashbyhq.com/anyscale,Ashby,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://jobs.ashbyhq.com/anyscale,Migration confirmed from Lever to Ashby; one Boards API parity check required; old Lever to be retired only after active uniqueness proof,N
Pure Storage / Everpure,,34,CORE_EXTENSION,purestorage_greenhouse,Global,https://www.purestorage.com/company/careers.html,https://job-boards.greenhouse.io/purestorage,Greenhouse,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/purestorage,Board token 'purestorage' but board presents employer as Everpure; preserve corporate identity explicitly; one Boards API parity check required,N
Veeam Software,,35,CORE_EXTENSION,veeamsoftware_greenhouse,Global,https://www.veeam.com/careers/search-jobs.html,https://job-boards.greenhouse.io/veeamsoftware,Greenhouse,FIRST_PARTY_AND_PLATFORM_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/veeamsoftware,Live root 224 jobs vs first-party ~228; one Boards API parity check required; small drift treated as churn if IDs reconcile,N
Forter,,36,CORE_EXTENSION,forter_greenhouse,Global,https://www.forter.com/careers/,https://job-boards.greenhouse.io/forter,Greenhouse,FIRST_PARTY_AND_PLATFORM_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/forter,Live root 37 jobs matches first-party; one Boards API parity check required,N
ServiceNow,,37,CORE_EXTENSION,servicenow_smartrecruiters,Global,https://careers.servicenow.com/jobs,https://careers.smartrecruiters.com/ServiceNow,SmartRecruiters,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://careers.smartrecruiters.com/ServiceNow,Live SmartRecruiters organization 'ServiceNow'; one Boards API parity check required,N
Capital One,,38,CORE_EXTENSION,capitalone_radancy,Global,https://www.capitalonecareers.com/,https://www.capitalonecareers.com/,Radancy,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://www.capitalonecareers.com/,Radancy/TalentBrew candidate experience; one Boards API parity check required,N
Deutsche Bank,,39,CORE_EXTENSION,db_workday,Global,https://careers.db.com/,https://db.wd3.myworkdayjobs.com/DBWebsite,Workday,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://db.wd3.myworkdayjobs.com/DBWebsite,Live wd3 DBWebsite; existing Workday adapter; one Boards API probe required,N
Mastercard,,40,CORE_EXTENSION,mastercard_phenom,Global,https://careers.mastercard.com/,https://careers.mastercard.com/,Phenom,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://careers.mastercard.com/,Phenom candidate experience backed by Workday; prefer the layer yielding complete public catalog with fewer requests; verify Phenom vs Workday parity once,N
ING,,41,CORE_EXTENSION,ing_radancy,Global,https://careers.ing.com/,https://careers-ing-com.talentbrew.com,Radancy,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://careers-ing-com.talentbrew.com,Live Radancy/TalentBrew assets; one Boards API parity check required,N
Allianz Group,,42,CORE_EXTENSION,allianz_successfactors,Global,https://careers.allianz.com/global/en/,https://careers.allianz.com/global/en/,SuccessFactors RMK,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://careers.allianz.com/global/en/,Allianz first-party accessibility statement identifies SuccessFactors SaaS; one RMK/company parameter check required,N
Siemens,,43,CORE_EXTENSION,siemens_avature,Global,https://jobs.siemens.com/,https://jobs.siemens.com/,Avature,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://jobs.siemens.com/,Siemens first-party recruitment/fraud-prevention pages explicitly state Avature job portal; one Avature tenant/config check required,N
Bosch Group,,44,CORE_EXTENSION,boschgroup_smartrecruiters,Global,https://www.bosch.com/careers/,https://careers.smartrecruiters.com/BoschGroup,SmartRecruiters,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://careers.smartrecruiters.com/BoschGroup,Live SmartRecruiters organization 'BoschGroup'; one Boards API parity check required,N
Rolls-Royce,,45,CORE_EXTENSION,rollsroyce_workday,Global,https://careers.rolls-royce.com/,https://rollsroyce.wd3.myworkdayjobs.com,Workday,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://rollsroyce.wd3.myworkdayjobs.com,Live wd3 site 'professional'; enumerate public Workday site paths and dedup by requisition ID; one Boards API probe required,N
American Express,,46,CORE_EXTENSION,amex_oracle_recruiting_cloud,Global,https://www.americanexpress.com/en-us/careers/,https://*.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/,Oracle Recruiting Cloud,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://www.americanexpress.com/en-us/careers/,Public postings resolve under fa.us2.oraclecloud.com; resolve current public ORC host/site IDs and run Oracle catalog probe; one Boards API probe required,N
JPMorgan Chase,,47,CORE_EXTENSION,jpmc_oracle_recruiting_cloud,Global,https://careers.jpmorgan.com/,https://jpmc.fa.oraclecloud.com,Oracle Recruiting Cloud,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://jpmc.fa.oraclecloud.com,Public sites include CX_1001, CX_1002; preserve cross-site dedup by requisition/job ID; one Boards API probe required,N
Porsche AG,,48,CORE_EXTENSION,porsche_successfactors,Global,https://jobs.porsche.com/,https://career5.successfactors.eu,SuccessFactors RMK,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://career5.successfactors.eu,Apply handoff company=porschecar; one RMK tenant/company check required; keep Porsche AG separate from Porsche Holding/VW-group jobs where needed,N
Airbus,,49,CORE_EXTENSION,airbus_workday,Global,https://www.airbus.com/en/careers,https://ag.wd3.myworkdayjobs.com/Airbus,Workday,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://ag.wd3.myworkdayjobs.com/Airbus,Live wd3 ag/Airbus tuple; one Boards API probe required,N
Lockheed Martin,,50,CORE_EXTENSION,lockheedmartin_radancy,Global,https://www.lockheedmartinjobs.com/,https://www.lockheedmartinjobs.com/,Radancy,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://www.lockheedmartinjobs.com/,Public career layer is Radancy/TalentBrew; one Boards API parity check first; BrassRing only if Radancy catalog is incomplete,N
Booz Allen Hamilton,,51,CORE_EXTENSION,bah_workday,Global,https://www.boozallen.com/careers/,https://bah.wd1.myworkdayjobs.com,Workday,FIRST_PARTY_VERIFIED_PLATFORM,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://bah.wd1.myworkdayjobs.com,Official application FAQ says candidates apply through Workday; resolve exact external site slug from live careers handoff; one Boards API probe required,N
OneTrust,,52,CORE_EXTENSION,onetrust_greenhouse,Global,https://www.onetrust.com/careers/,https://job-boards.greenhouse.io/onetrust,Greenhouse,FIRST_PARTY_AND_PLATFORM_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/onetrust,First-party 85 roles matches live root 85 roles; one Boards API count + ID parity check required,N
SecurityScorecard,,53,CORE_EXTENSION,securityscorecard_greenhouse,Global,https://www.securityscorecard.com/careers/,https://job-boards.greenhouse.io/securityscorecard,Greenhouse,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/securityscorecard,Live root 39 jobs including Threat Intelligence; one Boards API parity check required,N
Lambda,,54,CORE_EXTENSION,lambda_ashby,Global,https://lambda.ai/careers,https://jobs.ashbyhq.com/lambda,Ashby,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://jobs.ashbyhq.com/lambda,Live org 'lambda'; normalize case-insensitive org identity (lambda/Lambda); one Boards API probe required,N
Cerebras Systems,,55,CORE_EXTENSION,cerebras_ashby,Global,https://www.cerebras.net/careers,https://jobs.ashbyhq.com/cerebras,Ashby,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://jobs.ashbyhq.com/cerebras,Live org 'cerebras'; one Boards API probe required,N
Together AI,,56,CORE_EXTENSION,togetherai_greenhouse,Global,https://www.together.ai/careers,https://job-boards.greenhouse.io/togetherai,Greenhouse,FIRST_PARTY_AND_PLATFORM_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/togetherai,Live root ~58-64 jobs; one Boards API count + first-party parity required,N
Crusoe,,57,CORE_EXTENSION,crusoe_ashby,Global,https://www.crusoe.ai/careers,https://jobs.ashbyhq.com/Crusoe,Ashby,FIRST_PARTY_AND_PLATFORM_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://jobs.ashbyhq.com/Crusoe,Live org 'Crusoe'; canonicalize org casing; one Boards API probe required,N
